#: :filename=/home/mvazque2/.rbbt/tmp/tmp-542940535.Sheet1#:type=:double
#Associated.Gene.Name	Synonyms	Official name	Entrez.Taxa.ID	Entrez.Gene.ID	UniProt.SwissProt.Accession	Ensembl.Gene.ID	TFclass_human	TFclass_mouse	TFclass_rat	TFClass_classification_family_code	TFClass_classification_class_name
SOX21	SOX25	Transcription factor SOX-21 	9606|10090	11166|223227	Q9Y651|Q811W0	ENSG00000125285|ENSMUSG00000061517	TFclass_human.present	TFclass_mouse.present	NA	4.1.1	High-mobility group (HMG) domain factors
SOX3	-	Transcription factor SOX-3	9606|10090	6658|20675	P41225|Q99MT8	ENSG00000134595|ENSMUSG00000045179	TFclass_human.present	TFclass_mouse.present	NA	4.1.1	High-mobility group (HMG) domain factors
SOX30	-	Transcription factor SOX-30	9606|10090|10116	11063|214105|689918	O94993|Q8CGW4|F1M453	ENSG00000039600|ENSMUSG00000040489|ENSRNOG00000006098	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	4.1.1	High-mobility group (HMG) domain factors
SOX4	-	Transcription factor SOX-4	9606|10090	6659|20677	Q06945|Q06831	ENSG00000124766|ENSMUSG00000076431	TFclass_human.present	TFclass_mouse.present	NA	4.1.1	High-mobility group (HMG) domain factors
SOX5	L-SOX5 MGC35153	Transcription factor SOX-5	9606|10090|10116	6660|20678|140587	P35711|P35710|F1M8W4	ENSG00000134532|ENSMUSG00000041540|ENSRNOG00000027869	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	4.1.1	High-mobility group (HMG) domain factors
SOX6	-	Transcription factor SOX-6	9606|10090|10116	55553|20679|293165	P35712|P40645|A0A0G2JTZ2	ENSG00000110693|ENSMUSG00000051910|ENSRNOG00000020514	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	4.1.1	High-mobility group (HMG) domain factors
SOX7	-	Transcription factor SOX-7	9606|10090|10116	83595|20680|290317	Q9BT81|P40646|D3ZTE1	ENSG00000171056|ENSMUSG00000063060|ENSRNOG00000012049	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	4.1.1	High-mobility group (HMG) domain factors
SOX8	-	Transcription factor SOX-8	9606|10090|10116|10090|10116	30812|20681|302993|20682|140586	P57073|Q04886|D3ZR96|Q04887|F1LYL9	ENSG00000005513|ENSMUSG00000024176|ENSRNOG00000018841|ENSMUSG00000000567|ENSRNOG00000002607	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	4.1.1	High-mobility group (HMG) domain factors
SOX9	SRA1	Transcription factor SOX-9	9606|10090|10116|10090|10116	6662|20681|302993|20682|140586	P48436|Q04886|D3ZR96|Q04887|F1LYL9	ENSG00000125398|ENSMUSG00000024176|ENSRNOG00000018841|ENSMUSG00000000567|ENSRNOG00000002607	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	4.1.1	High-mobility group (HMG) domain factors
SP1	-	Transcription factor Sp1	9606	6667	P08047	ENSG00000185591	TFclass_human.present	NA	NA	2.3.1	C2H2 zinc finger factors
SP100	-	Nuclear autoantigen Sp-100 	9606|10090|10116	6672|20684|363269	P23497|O35892|Q5XI80	ENSG00000067066|ENSMUSG00000026222|ENSRNOG00000022769	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	5.3.5	SAND domain factors
SP110	-	Sp110 nuclear body protein 	9606|10090|10116	3431|109032|301570	Q9HB58|Q8BVK9|Q3KRF1	ENSG00000135899|ENSMUSG00000070034|ENSRNOG00000033747	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	5.3.4	SAND domain factors
SP140	LYSP100-B LYSP100-A	Nuclear body protein SP140 	9606|10090|10116	11262|434484|316580	Q13342|Q6NSQ5|F7EWA3	ENSG00000079263|ENSMUSG00000070031|ENSRNOG00000022800	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	5.3.5	SAND domain factors
SP140L	-	Nuclear body protein SP140-like protein	9606|10090|10116	93349|434484|316580	Q9H930|Q6NSQ5|F7EWA3	ENSG00000185404|ENSMUSG00000070031|ENSRNOG00000022800	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	5.3.5	SAND domain factors
SP2	KIAA0048	Transcription factor Sp2	9606|10090|10116	6668|78912|303499	Q02086|Q9D2H6|B5DEH3	ENSG00000167182|ENSMUSG00000018678|ENSRNOG00000010492	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.1	C2H2 zinc finger factors
SP3	SPR-2	Transcription factor Sp3 	9606|10090|10116	6670|20687|367846	Q02447|O70494|A0A0G2K5M1	ENSG00000172845|ENSMUSG00000027109|ENSRNOG00000060479	TFclass_human.present	TFclass_mouse.present	NA	2.3.1	C2H2 zinc finger factors
SP4	SPR-1 HF1B MGC130008 MGC130009	Transcription factor Sp4 	9606|10090|10116	6671|20688|25162	Q02446|Q62445|Q63158	ENSG00000105866|ENSMUSG00000025323|ENSRNOG00000005472	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.1	C2H2 zinc finger factors
SP5	-	Transcription factor Sp5	9606|10090|10116	389058|64406|296510	Q6BEB4|Q9JHX2|A0A0G2JUC1	ENSG00000204335|ENSMUSG00000075304|ENSRNOG00000054086	TFclass_human.present	TFclass_mouse.present	NA	2.3.1	C2H2 zinc finger factors
SP6	KLF14 Epfn	Transcription factor Sp6 	9606|10090|10116	80320|83395|363672	Q3SY56|Q9ESX2|D3ZT88	ENSG00000189120|ENSMUSG00000038560|ENSRNOG00000023551	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.1	C2H2 zinc finger factors
SP7	osterix OSX	Transcription factor Sp7 	9606|10090|10116	121340|170574|300260	Q8TDD2|Q8VI67|Q6IMK2	ENSG00000170374|ENSMUSG00000060284|ENSRNOG00000014082	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.1	C2H2 zinc finger factors
SP8	-	Transcription factor Sp8 	9606|10090|10116|10090|10116	221833|320145|299499|381373|366078	Q8IXZ3|Q8BMJ8|D3ZQL2|Q64HY3|D3ZZ24	ENSG00000164651|ENSMUSG00000048562|ENSRNOG00000005943|ENSMUSG00000068859|ENSRNOG00000028187	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.1	C2H2 zinc finger factors
SP9	ZNF990	Transcription factor Sp9	9606|10090|10116|10090|10116	100131390|320145|299499|381373|366078	P0CG40|Q8BMJ8|D3ZQL2|Q64HY3|D3ZZ24	ENSG00000217236|ENSMUSG00000048562|ENSRNOG00000005943|ENSMUSG00000068859|ENSRNOG00000028187	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.1	C2H2 zinc finger factors
SPDEF	PDEF bA375E1.3	SAM pointed domain-containing Ets transcription factor 	9606|10090|10116	25803|30051|689210	O95238|Q9WTP3|B2RYE0	ENSG00000124664|ENSMUSG00000024215|ENSRNOG00000000491	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.2	Tryptophan cluster factors
SPI1	PU.1 SPI-A OF SFPI1 SPI-1	Transcription factor PU.1 	9606|10090|10116	6688|20375|366126	P17947|P17433|Q6BDS1	ENSG00000066336|ENSMUSG00000002111|ENSRNOG00000012172	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.2	Tryptophan cluster factors
SPIB	SPI-B	Transcription factor Spi-B	9606|10090|10116	6689|272382|499146	Q01892|O35906|Q5EBA3	ENSG00000269404|ENSMUSG00000008193|ENSRNOG00000019660	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.2	Tryptophan cluster factors
SPIC	MGC40611 SPI-C	Transcription factor Spi-C	9606|10090|10116	121599|20728|314711	Q8N5J4|Q6P3D7|D4A5A4	ENSG00000166211|ENSMUSG00000004359|ENSRNOG00000005720	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.2	Tryptophan cluster factors
SREBF1	SREBP1 bHLHd1 SREBP-1c SREBP1a	Sterol regulatory element-binding protein 1 	9606|10090|10116	6720|20787|78968	P36956|Q9WTN3|P56720	ENSG00000072310|ENSMUSG00000020538|ENSRNOG00000003463	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.6	Basic helix-loop-helix factors (bHLH)
SREBF2	SREBP2 bHLHd2	Sterol regulatory element-binding protein 2 	9606|10090|10116	6721|20788|300095	Q12772|Q3U1N2|Q3T1I5	ENSG00000198911|ENSMUSG00000022463|ENSRNOG00000007400	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.6	Basic helix-loop-helix factors (bHLH)
SRF	MCM1	Serum response factor 	9606|10090|10116	6722|20807|501099	P11831|Q9JM73|D3ZHH8	ENSG00000112658|ENSMUSG00000015605|ENSRNOG00000018232	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	5.1.2	MADS box factors
SRY	TDF	Sex-determining region Y protein 	9606|10116|10090|10116|10116|10116	6736|21674|25221|103694545|103694552|	Q05066|W8BZ20|Q05738|P36394|Q811V5|Q8CGQ5	ENSG00000184895|ENSMUSG00000069036|ENSRNOG00000062090|||	TFclass_human.present	TFclass_mouse.present	NA	4.1.1	High-mobility group (HMG) domain factors
Sry	-	Sex-determining region Y protein 	10090|10116	21674|25221	Q05738|P36394	ENSMUSG00000069036|ENSRNOG00000062090	NA	TFclass_mouse.present	NA	NA	NA
SSRP1	FACT80	FACT complex subunit SSRP1 	9606|10090|10116	6749|20833|81785	Q08945|Q08943|Q04931	ENSG00000149136|ENSMUSG00000027067|ENSRNOG00000008825	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	4.1.5	High-mobility group (HMG) domain factors
ST18	KIAA0535 ZC2HC10 NZF3 NZF-3 ZC2H2C3	Suppression of tumorigenicity 18 protein 	9606|10090|10116	9705|240690|266680	O60284|Q80TY4|Q9QX27	ENSG00000147488|ENSMUSG00000033740|ENSRNOG00000006200	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.7.1	C2HC zinc finger factors
STAT1	STAT91 ISGF-3	Signal transducer and activator of transcription 1-alpha/beta 	9606|10090	6772|20846	P42224|P42225	ENSG00000115415|ENSMUSG00000026104	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.2.1	STAT domain factors
STAT2	STAT113	Signal transducer and activator of transcription 2 	9606	6773	P52630	ENSG00000170581	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.2.1	STAT domain factors
STAT3	APRF	Signal transducer and activator of transcription 3 	9606|10090|10116	6774|20848|25125	P40763|P42227|P52631	ENSG00000168610|ENSMUSG00000004040|ENSRNOG00000019742	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.2.1	STAT domain factors
STAT4	-	Signal transducer and activator of transcription 4	9606|10090|10116	6775|20849|367264	Q14765|P42228|Q66HB2	ENSG00000138378|ENSMUSG00000062939|ENSRNOG00000014079	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.2.1	STAT domain factors
STAT5A	MGF	Signal transducer and activator of transcription 5A	9606|10090|10090|10116|10090|10116	6776|20850|24918|20851|25126|	P42229|Q9R0X9|P42230|Q62771|P42232|P52632	ENSG00000126561|ENSMUSG00000004043|ENSRNOG00000019496|ENSMUSG00000020919|ENSRNOG00000019075|	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.2.1	STAT domain factors
STAT5B	-	Signal transducer and activator of transcription 5B	9606|10090|10116|10090|10116	6777|20850|24918|20851|25126	P51692|P42230|Q62771|P42232|P52632	ENSG00000173757|ENSMUSG00000004043|ENSRNOG00000019496|ENSMUSG00000020919|ENSRNOG00000019075	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.2.1	STAT domain factors
STAT6	D12S1644 IL-4-STAT	Signal transducer and activator of transcription 6 	9606|10090|10116	6778|20852|362896	P42226|P52633|Q1KQ07	ENSG00000166888|ENSMUSG00000002147|ENSRNOG00000025023	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.2.1	STAT domain factors
TADA2A	ADA2 hADA2 ADA2A	Transcriptional adapter 2-alpha 	9606|10090|10116	6871|217031|360581	O75478|Q8CHV6|Q6AYE3	ENSG00000276234|ENSMUSG00000018651|ENSRNOG00000002757	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.1	Tryptophan cluster factors
TADA2B	MGC21874	Transcriptional adapter 2-beta 	9606|10090|10116	93624|231151|289717	Q86TJ2|D3Z4Z0|B5DFL8	ENSG00000173011|ENSMUSG00000029196|ENSRNOG00000027326	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.1	Tryptophan cluster factors
TAF1	NSCL2 TAFII250 KAT4 DYT3/TAF1	Transcription initiation factor TFIID subunit 1 	9606|10090	6872|270627	P21675|Q80UV9	ENSG00000147133|ENSMUSG00000031314	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	4.1.3	High-mobility group (HMG) domain factors
TAF1L	-	Transcription initiation factor TFIID subunit 1-like 	9606|10090	138474|270627	Q8IZX4|Q80UV9	ENSG00000122728|ENSMUSG00000031314	TFclass_human.present	TFclass_mouse.present	NA	4.1.3	High-mobility group (HMG) domain factors
TAL1	SCL bHLHa17	T-cell acute lymphocytic leukemia protein 1 	9606|10090|10116	6886|21349|313507	P17542|P22091|D3Z921	ENSG00000162367|ENSMUSG00000028717|ENSRNOG00000025051	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.3	Basic helix-loop-helix factors (bHLH)
TAL2	bHLHa19	T-cell acute lymphocytic leukemia protein 2 	9606|10090|10116	6887|21350|685229	Q16559|Q62282|D3ZV67	ENSG00000186051|ENSMUSG00000028417|ENSRNOG00000028082	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.3	Basic helix-loop-helix factors (bHLH)
TBP	TFIID TBP1	TATA-box-binding protein 	9606|10090|10116	6908|21374|117526	P20226|P29037|Q66HB1	ENSG00000112592|ENSMUSG00000014767|ENSRNOG00000001489	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	8.1.1	TATA-binding proteins
TBPL1	TLP STUD TRF2 TLF	TATA box-binding protein-like 1 	9606|10090|10116	9519|237336|689030	P62380|P62340|D4A898	ENSG00000028839|ENSMUSG00000071359|ENSRNOG00000011114	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	8.1.1	TATA-binding proteins
TBPL2	TRF3 TBP2	TATA box-binding protein-like 2 	9606|10090|10116	387332|227606|680050	Q6SJ96|Q6SJ95|A6H909	ENSG00000182521|ENSMUSG00000061809|ENSRNOG00000033682	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	8.1.1	TATA-binding proteins
TBX1	CATCH22	T-box transcription factor TBX1 	9606|10090|10116|10116	6899|21380|65161|360737	O43435|Q9JLJ0|P0C0T0|D4A2E9	ENSG00000184058|ENSMUSG00000009097|ENSRNOG00000002520|ENSRNOG00000001892	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.5.3	T-Box factors
TBX10	TBX13	T-box transcription factor TBX10 	9606|10090|10116	347853|109575|688822	O75333|Q810F8|D3ZAQ3	ENSG00000167800|ENSMUSG00000037477|ENSRNOG00000017944	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.5.3	T-Box factors
TBX15	-	T-box transcription factor TBX15 	9606|10090|10116	6913|21384|295315	Q96SF7|O70306|D3ZJ07	ENSG00000092607|ENSMUSG00000027868|ENSRNOG00000019565	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.5.3	T-Box factors
TBX18	-	T-box transcription factor TBX18 	9606|10090|10116	9096|76365|315870	O95935|Q9EPZ6|D4A1V6	ENSG00000112837|ENSMUSG00000032419|ENSRNOG00000010685	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.5.3	T-Box factors
TBX19	dj747L4.1 TPIT	T-box transcription factor TBX19 	9606|10090|10116	9095|83993|304935	O60806|Q99ME7|D3Z977	ENSG00000143178|ENSMUSG00000026572|ENSRNOG00000002979	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.5.1	T-Box factors
TBX2	-	T-box transcription factor TBX2 	9606|10090|10116	6909|21385|303398	Q13207|Q60707|F1M0C0	ENSG00000121068|ENSMUSG00000000093|ENSRNOG00000003517	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.5.4	T-Box factors
TBX20	-	T-box transcription factor TBX20 	9606|10090|10116	57057|57246|315497	Q9UMR3|Q9ES03|A0A0G2KAH3	ENSG00000164532|ENSMUSG00000031965|ENSRNOG00000016181	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.5.3	T-Box factors
TBX22	-	T-box transcription factor TBX22 	9606|10090|10116	50945|245572|302369	Q9Y458|Q8K402|D3ZMK6	ENSG00000122145|ENSMUSG00000031241|ENSRNOG00000002346	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.5.3	T-Box factors
TBX3	TBX3-ISO XHL	T-box transcription factor TBX3 	9606|10090|10116	6926|21386|353305	O15119|P70324|Q7TST9	ENSG00000135111|ENSMUSG00000018604|ENSRNOG00000008706	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.5.4	T-Box factors
TBX4	-	T-box transcription factor TBX4 	9606|10090|10116	9496|21387|303399	P57082|P70325|D4A0A2	ENSG00000121075|ENSMUSG00000000094|ENSRNOG00000003544	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.5.4	T-Box factors
TBX5	-	T-box transcription factor TBX5 	9606|10090|10116	6910|21388|304514	Q99593|P70326|Q5I2P1	ENSG00000089225|ENSMUSG00000018263|ENSRNOG00000001399	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.5.4	T-Box factors
TBX6	-	T-box transcription factor TBX6 	9606|10090|10116	6911|21389|365371	O95947|P70327|D3ZJK7	ENSG00000149922|ENSMUSG00000030699|ENSRNOG00000019771	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.5.5	T-Box factors
TBXT	-	T-box transcription factor T 	9606|10090|10116	6862|20997|292301	O15178|P20293|D4A4W8	ENSG00000164458|ENSMUSG00000062327|ENSRNOG00000012229	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.5.1	T-Box factors
TCF12	HEB HTF4 HsT17266 bHLHb20 p64	Transcription factor 12 	9606|10090|10116	6938|21406|25720	Q99081|Q61286|P51514	ENSG00000140262|ENSMUSG00000032228|ENSRNOG00000057754	TFclass_human.present	TFclass_mouse.present	NA	1.2.1	Basic helix-loop-helix factors (bHLH)
TCF15	EC2 PARAXIS bHLHa40	Transcription factor 15 	9606|10090|10116	6939|21407|296272	Q12870|Q60756|D3ZEK9	ENSG00000125878|ENSMUSG00000068079|ENSRNOG00000000012	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.3	Basic helix-loop-helix factors (bHLH)
TCF21	POD1 bHLHa23	Transcription factor 21 	9606|10090|10116	6943|21412|252856	O43680|O35437|Q498R2	ENSG00000118526|ENSMUSG00000045680|ENSRNOG00000016700	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.3	Basic helix-loop-helix factors (bHLH)
TCF23	OUT bHLHa24	Transcription factor 23 	9606|10090|10116	150921|69852|688600	Q7RTU1|Q9JLR5|D4A6W7	ENSG00000163792|ENSMUSG00000006642|ENSRNOG00000025736	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.3	Basic helix-loop-helix factors (bHLH)
TCF25	Nulp1 KIAA1049	Transcription factor 25 	9606|10090|10116	22980|66855|292082	Q9BQ70|Q8R3L2|D3ZC46	ENSG00000141002|ENSMUSG00000001472|ENSRNOG00000017023	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	0.0.1	Uncharacterized
TCF3	E2A ITF1 MGC129647 MGC129648 bHLHb21 VDIR E47 p75	Transcription factor E2-alpha 	9606|10090|10116	6929|21423|171046	P15923|P15806|P21677	ENSG00000071564|ENSMUSG00000020167|ENSRNOG00000051499	TFclass_human.present	TFclass_mouse.present	NA	1.2.1	Basic helix-loop-helix factors (bHLH)
TCF4	SEF2-1B ITF2 bHLHb19 E2-2	Transcription factor 4 	9606|10090|10116	6925|21413|84382	P15884|Q60722|Q62655	ENSG00000196628|ENSMUSG00000053477|ENSRNOG00000012405	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.1	Basic helix-loop-helix factors (bHLH)
TCF7	TCF-1	Transcription factor 7 	9606|10090|10116	6932|21414|363595	P36402|Q00417|D3ZLD0	ENSG00000081059|ENSMUSG00000000782|ENSRNOG00000005872	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	4.1.3	High-mobility group (HMG) domain factors
TCF7L1	-	Transcription factor 7-like 1 	9606|10090|10116	83439|21415|312451	Q9HCS4|Q9Z1J1|F1M1R9	ENSG00000152284|ENSMUSG00000055799|ENSRNOG00000014753	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	4.1.3	High-mobility group (HMG) domain factors
TCF7L2	TCF-4	Transcription factor 7-like 2 	9606|10090|10116	6934|21416|679869	Q9NQB0|Q924A0|D3Z9D1	ENSG00000148737|ENSMUSG00000024985|ENSRNOG00000049232	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	4.1.3	High-mobility group (HMG) domain factors
TCFL5	Figlb E2BP-1 CHA bHLHe82	Transcription factor-like 5 protein 	9606|10090|10116	10732|277353|311715	Q9UL49|Q32NY8|A0A0G2JYQ8	ENSG00000101190|ENSMUSG00000038932|ENSRNOG00000061199	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.5	Basic helix-loop-helix factors (bHLH)
TEAD1	TEF-1	Transcriptional enhancer factor TEF-1 	9606|10090|10116	7003|21676|361630	P28347|P30051|F1M7P3	ENSG00000187079|ENSMUSG00000055320|ENSRNOG00000015488	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.6.1	TEA domain factors
TEAD2	TEF-4 ETF TEF4	Transcriptional enhancer factor TEF-4 	9606|10090|10116	8463|21677|308582	Q15562|P48301|B5DF69	ENSG00000074219|ENSMUSG00000030796|ENSRNOG00000020695	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.6.1	TEA domain factors
TEAD3	TEF-5 ETFR-1	Transcriptional enhancer factor TEF-5 	9606|10090|10116	7005|21678|294299	Q99594|P70210|Q4KLN9	ENSG00000007866|ENSMUSG00000002249|ENSRNOG00000000506	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.6.1	TEA domain factors
TEAD4	TEF-3 TEFR-1 EFTR-2 RTEF-1	Transcriptional enhancer factor TEF-3 	9606|10090|10116	7004|21679|683522	Q15561|Q62296|F1M665	ENSG00000197905|ENSMUSG00000030353|ENSRNOG00000005608	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.6.1	TEA domain factors
TEF	KIAA1655	Thyrotroph embryonic factor	9606|10090|10116	7008|21685|29362	Q10587|Q9JLC6|P41224	ENSG00000167074|ENSMUSG00000022389|ENSRNOG00000019383	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.8	Basic leucine zipper factors (bZIP)
TET1	LCX KIAA1676 bA119F7.1	Methylcytosine dioxygenase TET1 	9606|10090|10116	80312|52463|309902	Q8NFU7|Q3URK3|F1LUQ3	ENSG00000138336|ENSMUSG00000047146|ENSRNOG00000000277	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.6.1	CXXC zinc finger factors
TET3	MGC22014 hCG_40738	Methylcytosine dioxygenase TET3 	9606|10090|10116	200424|194388|680576	O43151|Q8BG87|D3ZQT7	ENSG00000187605|ENSMUSG00000034832|ENSRNOG00000011387	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	NA	NA
TFAM	-	Transcription factor A|mitochondrial 	9606|10090|10116	7019|21780|83474	Q00059|P40630|Q91ZW1	ENSG00000108064|ENSMUSG00000003923|ENSRNOG00000000613	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	4.1.7	High-mobility group (HMG) domain factors
TFAP2A	AP-2 AP-2alpha	Transcription factor AP-2-alpha 	9606|10090|10116	7020|21418|306862	P05549|P34056|P58197	ENSG00000137203|ENSMUSG00000021359|ENSRNOG00000015522	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.3.1	Basic helix-span-helix factors (bHSH)
TFAP2B	AP2-B AP-2beta	Transcription factor AP-2-beta 	9606|10090|10116	7021|21419|301285	Q92481|Q61313|A0A0G2KAT2	ENSG00000008196|ENSMUSG00000025927|ENSRNOG00000011823	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.3.1	Basic helix-span-helix factors (bHSH)
